donor_id,donation_type,available_quantity,location_donor,Trust_Score,availability
1,لبس,3,القاهرة,61,اليوم
2,علاج,9,المنصورة,74,غدا
3,علاج,1,بورسعيد,86,خلال أسبوع
4,أكل,4,الجيزة,98,غدا
5,علاج,12,أسوان,75,غدا
6,علاج,13,الإسكندرية,74,غدا
7,علاج,3,المنصورة,52,خلال أسبوع
8,علاج,13,الأقصر,76,غدا
9,علاج,14,الجيزة,70,خلال أسبوع
10,لبس,5,الإسكندرية,67,اليوم
11,علاج,9,القاهرة,70,اليوم
12,أكل,12,القاهرة,51,خلال أسبوع
13,لبس,11,الجيزة,49,اليوم
14,علاج,12,القاهرة,45,خلال أسبوع
15,لبس,6,الأقصر,44,غدا
16,علاج,10,الإسكندرية,82,خلال أسبوع
17,لبس,7,طنطا,48,غدا
18,علاج,1,الجيزة,62,اليوم
19,علاج,10,المنصورة,56,غدا
20,علاج,14,طنطا,43,غدا
21,لبس,12,بورسعيد,52,اليوم
22,علاج,8,الإسكندرية,97,اليوم
23,علاج,7,القاهرة,67,اليوم
24,لبس,8,الإسكندرية,54,اليوم
25,أكل,5,أسوان,72,خلال أسبوع
26,علاج,8,القاهرة,46,غدا
27,أكل,10,طنطا,71,خلال أسبوع
28,علاج,1,طنطا,62,اليوم
29,أكل,2,الإسكندرية,75,خلال أسبوع
30,علاج,4,بورسعيد,85,غدا
31,أكل,14,الأقصر,76,خلال أسبوع
32,علاج,6,الإسكندرية,77,اليوم
33,علاج,15,أسوان,98,غدا
34,علاج,14,الأقصر,91,خلال أسبوع
35,أكل,5,الإسكندرية,41,غدا
36,لبس,12,الجيزة,90,خلال أسبوع
37,علاج,13,المنصورة,92,اليوم
38,علاج,7,الإسكندرية,62,خلال أسبوع
39,علاج,4,الجيزة,51,غدا
40,علاج,12,المنصورة,55,خلال أسبوع
41,علاج,8,الإسكندرية,96,غدا
42,علاج,5,بورسعيد,80,غدا
43,علاج,9,المنصورة,50,خلال أسبوع
44,علاج,2,أسوان,97,غدا
45,علاج,15,القاهرة,93,اليوم
46,أكل,13,بورسعيد,57,خلال أسبوع
47,علاج,5,الإسكندرية,58,غدا
48,أكل,11,القاهرة,86,اليوم
49,أكل,10,الجيزة,66,خلال أسبوع
50,علاج,8,طنطا,48,غدا
51,علاج,12,الإسكندرية,48,غدا
52,علاج,15,القاهرة,54,غدا
53,أكل,10,الجيزة,85,غدا
54,أكل,11,أسوان,49,غدا
55,علاج,2,أسوان,51,اليوم
56,أكل,5,المنصورة,95,غدا
57,أكل,15,القاهرة,80,اليوم
58,علاج,15,بورسعيد,53,خلال أسبوع
59,علاج,5,المنصورة,91,غدا
60,علاج,9,بورسعيد,93,خلال أسبوع
61,علاج,11,طنطا,98,خلال أسبوع
62,أكل,6,بورسعيد,95,خلال أسبوع
63,علاج,7,الإسكندرية,87,غدا
64,علاج,7,أسوان,40,اليوم
65,علاج,10,القاهرة,76,اليوم
66,أكل,7,الأقصر,93,غدا
67,علاج,5,الأقصر,49,غدا
68,علاج,14,أسوان,60,غدا
69,علاج,15,الأقصر,51,خلال أسبوع
70,علاج,10,المنصورة,78,اليوم
71,علاج,1,طنطا,68,غدا
72,علاج,10,بورسعيد,59,اليوم
73,علاج,10,القاهرة,57,خلال أسبوع
74,علاج,10,الإسكندرية,90,خلال أسبوع
75,علاج,8,بورسعيد,61,غدا
76,علاج,2,بورسعيد,55,اليوم
77,لبس,6,بورسعيد,80,خلال أسبوع
78,علاج,4,طنطا,59,اليوم
79,لبس,13,المنصورة,99,غدا
80,علاج,9,أسوان,52,خلال أسبوع
81,أكل,4,بورسعيد,62,اليوم
82,علاج,1,الإسكندرية,55,اليوم
83,أكل,8,الجيزة,63,غدا
84,علاج,1,الأقصر,80,خلال أسبوع
85,علاج,3,أسوان,100,غدا
86,أكل,2,الإسكندرية,63,غدا
87,لبس,4,القاهرة,100,غدا
88,علاج,2,بورسعيد,92,خلال أسبوع
89,لبس,12,بورسعيد,86,خلال أسبوع
90,لبس,15,الجيزة,79,خلال أسبوع
91,لبس,12,المنصورة,94,غدا
92,أكل,15,طنطا,67,اليوم
93,علاج,11,الإسكندرية,57,غدا
94,علاج,2,طنطا,48,اليوم
95,علاج,11,أسوان,97,خلال أسبوع
96,لبس,3,القاهرة,95,اليوم
97,أكل,6,القاهرة,58,اليوم
98,علاج,9,طنطا,72,خلال أسبوع
99,علاج,10,المنصورة,69,اليوم
100,علاج,4,طنطا,41,خلال أسبوع
101,علاج,1,الجيزة,42,اليوم
102,علاج,2,القاهرة,86,اليوم
103,علاج,14,الجيزة,74,خلال أسبوع
104,لبس,13,طنطا,82,اليوم
105,علاج,9,الجيزة,66,خلال أسبوع
106,علاج,12,أسوان,45,خلال أسبوع
107,علاج,15,القاهرة,62,خلال أسبوع
108,علاج,7,أسوان,65,خلال أسبوع
109,علاج,8,الإسكندرية,73,غدا
110,علاج,12,المنصورة,50,اليوم
111,علاج,2,الأقصر,68,اليوم
112,علاج,4,الإسكندرية,66,خلال أسبوع
113,علاج,4,القاهرة,74,اليوم
114,علاج,8,أسوان,46,خلال أسبوع
115,لبس,10,بورسعيد,66,غدا
116,علاج,8,الأقصر,76,اليوم
117,علاج,9,طنطا,68,غدا
118,لبس,13,المنصورة,97,اليوم
119,لبس,6,طنطا,42,غدا
120,لبس,14,طنطا,53,خلال أسبوع
121,علاج,1,المنصورة,53,خلال أسبوع
122,علاج,1,الإسكندرية,62,خلال أسبوع
123,لبس,13,بورسعيد,55,غدا
124,علاج,13,بورسعيد,41,خلال أسبوع
125,علاج,8,المنصورة,46,خلال أسبوع
126,أكل,6,الأقصر,75,غدا
127,أكل,14,الجيزة,49,غدا
128,علاج,6,الأقصر,61,غدا
129,أكل,6,الأقصر,77,اليوم
130,علاج,1,بورسعيد,76,غدا
131,علاج,4,المنصورة,48,غدا
132,علاج,4,القاهرة,52,خلال أسبوع
133,علاج,13,القاهرة,41,اليوم
134,لبس,4,أسوان,50,خلال أسبوع
135,علاج,1,المنصورة,84,خلال أسبوع
136,علاج,10,طنطا,60,غدا
137,علاج,9,المنصورة,84,اليوم
138,علاج,10,طنطا,50,غدا
139,علاج,13,أسوان,80,غدا
140,علاج,3,بورسعيد,42,اليوم
141,أكل,6,طنطا,87,غدا
142,علاج,6,الجيزة,82,غدا
143,علاج,1,الأقصر,46,خلال أسبوع
144,علاج,15,القاهرة,61,اليوم
145,علاج,1,الجيزة,94,اليوم
146,علاج,8,الأقصر,89,غدا
147,علاج,1,طنطا,91,اليوم
148,لبس,3,المنصورة,65,خلال أسبوع
149,لبس,5,الأقصر,49,اليوم
150,لبس,12,الإسكندرية,56,خلال أسبوع
151,علاج,12,الأقصر,55,غدا
152,أكل,5,أسوان,42,اليوم
153,علاج,1,الإسكندرية,64,خلال أسبوع
154,علاج,13,الجيزة,98,غدا
155,علاج,11,طنطا,40,غدا
156,لبس,8,الجيزة,95,خلال أسبوع
157,أكل,14,الجيزة,92,خلال أسبوع
158,علاج,6,طنطا,82,خلال أسبوع
159,لبس,12,المنصورة,66,خلال أسبوع
160,علاج,5,الجيزة,42,اليوم
161,لبس,2,بورسعيد,88,اليوم
162,أكل,14,الجيزة,59,اليوم
163,علاج,12,بورسعيد,50,غدا
164,علاج,14,القاهرة,59,غدا
165,علاج,6,طنطا,40,خلال أسبوع
166,أكل,13,طنطا,69,غدا
167,علاج,8,بورسعيد,44,اليوم
168,لبس,13,أسوان,88,غدا
169,علاج,3,الإسكندرية,69,غدا
170,علاج,5,القاهرة,69,خلال أسبوع
171,علاج,4,المنصورة,56,غدا
172,علاج,10,المنصورة,40,خلال أسبوع
173,علاج,2,بورسعيد,65,خلال أسبوع
174,أكل,3,طنطا,59,اليوم
175,أكل,4,الإسكندرية,67,غدا
176,أكل,12,القاهرة,62,خلال أسبوع
177,أكل,11,القاهرة,45,اليوم
178,علاج,11,المنصورة,58,غدا
179,لبس,4,طنطا,42,غدا
180,أكل,5,المنصورة,58,خلال أسبوع
181,علاج,5,طنطا,89,خلال أسبوع
182,علاج,10,الأقصر,72,غدا
183,علاج,1,بورسعيد,65,اليوم
184,علاج,13,المنصورة,40,اليوم
185,علاج,11,المنصورة,60,خلال أسبوع
186,علاج,13,بورسعيد,92,اليوم
187,أكل,2,الجيزة,68,غدا
188,علاج,14,القاهرة,42,خلال أسبوع
189,علاج,15,الجيزة,57,غدا
190,لبس,6,طنطا,68,غدا
191,علاج,11,الأقصر,82,خلال أسبوع
192,علاج,15,أسوان,63,اليوم
193,أكل,8,القاهرة,92,اليوم
194,لبس,4,القاهرة,96,اليوم
195,علاج,13,الإسكندرية,64,خلال أسبوع
196,علاج,12,طنطا,85,اليوم
197,علاج,11,المنصورة,55,اليوم
198,علاج,14,الأقصر,88,غدا
199,لبس,9,المنصورة,85,خلال أسبوع
200,علاج,13,أسوان,94,خلال أسبوع
201,علاج,4,الإسكندرية,95,غدا
202,علاج,8,الجيزة,56,خلال أسبوع
203,لبس,10,بورسعيد,90,اليوم
204,علاج,8,القاهرة,67,اليوم
205,علاج,11,الجيزة,70,غدا
206,علاج,3,الجيزة,96,خلال أسبوع
207,علاج,6,القاهرة,65,خلال أسبوع
208,علاج,4,طنطا,88,غدا
209,علاج,4,المنصورة,40,اليوم
210,علاج,11,أسوان,63,غدا
211,علاج,12,بورسعيد,56,خلال أسبوع
212,علاج,14,الجيزة,86,خلال أسبوع
213,علاج,10,الإسكندرية,63,غدا
214,علاج,1,أسوان,41,خلال أسبوع
215,أكل,1,القاهرة,82,اليوم
216,علاج,1,الجيزة,92,غدا
217,علاج,2,المنصورة,52,خلال أسبوع
218,علاج,10,الجيزة,48,اليوم
219,أكل,11,الإسكندرية,81,اليوم
220,علاج,7,القاهرة,88,خلال أسبوع
221,علاج,14,طنطا,70,غدا
222,علاج,2,القاهرة,56,خلال أسبوع
223,أكل,8,الإسكندرية,100,خلال أسبوع
224,علاج,14,أسوان,60,خلال أسبوع
225,علاج,3,الإسكندرية,44,خلال أسبوع
226,علاج,1,طنطا,53,اليوم
227,علاج,14,الأقصر,47,غدا
228,علاج,11,القاهرة,93,غدا
229,علاج,5,الجيزة,84,خلال أسبوع
230,علاج,7,بورسعيد,60,خلال أسبوع
231,أكل,7,المنصورة,67,غدا
232,علاج,4,الجيزة,85,خلال أسبوع
233,علاج,3,أسوان,48,خلال أسبوع
234,علاج,13,المنصورة,98,اليوم
235,علاج,4,المنصورة,77,غدا
236,علاج,6,الإسكندرية,99,اليوم
237,علاج,7,الأقصر,56,خلال أسبوع
238,لبس,13,بورسعيد,91,خلال أسبوع
239,علاج,12,طنطا,72,اليوم
240,لبس,13,بورسعيد,54,اليوم
241,أكل,10,أسوان,60,خلال أسبوع
242,أكل,14,أسوان,60,خلال أسبوع
243,علاج,11,أسوان,89,خلال أسبوع
244,علاج,13,المنصورة,73,غدا
