request_id,need_type,needed_quantity,location_requester,urgency,age,family_members,is_family
1,أكل,5,بورسعيد,عاجل,18,3,1
2,علاج,9,الجيزة,منخفض,55,5,1
3,أكل,4,بورسعيد,منخفض,78,2,1
4,علاج,9,طنطا,عاجل,58,5,1
5,أكل,3,طنطا,متوسط,36,1,0
6,لبس,2,الجيزة,منخفض,13,1,0
7,علاج,5,القاهرة,منخفض,59,3,1
8,علاج,2,الأقصر,منخفض,80,1,0
9,علاج,2,القاهرة,منخفض,30,1,0
10,علاج,2,طنطا,متوسط,59,1,0
11,علاج,6,أسوان,عاجل,35,3,1
12,علاج,2,الإسكندرية,متوسط,32,1,0
13,علاج,5,بورسعيد,متوسط,42,3,1
14,أكل,6,طنطا,متوسط,9,3,1
15,علاج,6,بورسعيد,منخفض,64,3,1
16,علاج,3,الأقصر,عاجل,32,1,0
17,علاج,5,طنطا,منخفض,52,3,1
18,علاج,9,المنصورة,عاجل,7,5,1
19,علاج,3,طنطا,منخفض,9,1,0
20,علاج,8,الأقصر,متوسط,2,4,1
21,أكل,9,الأقصر,منخفض,44,5,1
22,علاج,3,المنصورة,متوسط,34,1,0
23,علاج,2,الأقصر,منخفض,65,1,0
24,علاج,6,الإسكندرية,منخفض,68,3,1
25,لبس,8,القاهرة,عاجل,47,4,1
26,أكل,4,الجيزة,عاجل,63,2,1
27,علاج,3,المنصورة,منخفض,22,1,0
28,علاج,7,الأقصر,منخفض,26,4,1
29,علاج,6,المنصورة,منخفض,58,3,1
30,علاج,2,أسوان,عاجل,76,1,0
31,علاج,4,الجيزة,عاجل,8,2,1
32,أكل,6,الجيزة,منخفض,31,3,1
33,علاج,4,الإسكندرية,منخفض,74,2,1
34,علاج,8,طنطا,عاجل,13,4,1
35,علاج,6,طنطا,متوسط,60,3,1
36,علاج,2,بورسعيد,متوسط,44,1,0
37,علاج,4,المنصورة,عاجل,55,2,1
38,علاج,4,الجيزة,منخفض,71,2,1
39,علاج,9,القاهرة,عاجل,31,5,1
40,علاج,8,بورسعيد,متوسط,8,4,1
41,أكل,7,الأقصر,متوسط,37,4,1
42,علاج,9,المنصورة,عاجل,25,5,1
43,أكل,10,القاهرة,منخفض,41,5,1
44,علاج,8,الإسكندرية,عاجل,66,4,1
45,أكل,10,الجيزة,منخفض,31,5,1
46,علاج,4,طنطا,منخفض,11,2,1
47,علاج,10,أسوان,متوسط,27,5,1
48,لبس,4,الأقصر,متوسط,17,2,1
49,لبس,8,أسوان,عاجل,2,4,1
50,علاج,2,الجيزة,منخفض,28,1,0
51,علاج,6,الجيزة,عاجل,48,3,1
52,علاج,9,الأقصر,منخفض,68,5,1
53,علاج,5,الجيزة,عاجل,34,3,1
54,علاج,9,الإسكندرية,متوسط,37,5,1
55,علاج,6,بورسعيد,منخفض,34,3,1
56,لبس,1,الجيزة,منخفض,55,1,0
57,أكل,6,الإسكندرية,منخفض,34,3,1
58,علاج,9,طنطا,متوسط,2,5,1
59,علاج,3,القاهرة,متوسط,75,1,0
60,علاج,3,القاهرة,متوسط,47,1,0
61,علاج,4,الجيزة,متوسط,72,2,1
62,علاج,3,بورسعيد,عاجل,23,1,0
63,علاج,6,طنطا,متوسط,32,3,1
64,علاج,2,طنطا,عاجل,61,1,0
65,علاج,6,الأقصر,عاجل,29,3,1
66,علاج,7,أسوان,متوسط,9,4,1
67,علاج,9,طنطا,منخفض,69,5,1
68,أكل,5,الإسكندرية,منخفض,34,3,1
69,علاج,7,المنصورة,منخفض,41,4,1
70,علاج,2,طنطا,منخفض,25,1,0
71,علاج,7,القاهرة,منخفض,69,4,1
72,علاج,4,أسوان,متوسط,9,2,1
73,علاج,6,الجيزة,منخفض,39,3,1
74,علاج,7,أسوان,متوسط,38,4,1
75,علاج,7,طنطا,منخفض,23,4,1
76,لبس,7,القاهرة,متوسط,37,4,1
77,علاج,10,أسوان,متوسط,57,5,1
78,علاج,9,المنصورة,منخفض,22,5,1
79,لبس,9,أسوان,عاجل,31,5,1
80,علاج,4,الإسكندرية,متوسط,6,2,1
81,علاج,2,المنصورة,متوسط,74,1,0
82,علاج,7,المنصورة,متوسط,32,4,1
83,علاج,1,الجيزة,متوسط,29,1,0
84,علاج,8,القاهرة,منخفض,32,4,1
85,علاج,8,أسوان,متوسط,79,4,1
86,علاج,9,المنصورة,عاجل,61,5,1
87,علاج,5,المنصورة,منخفض,31,3,1
88,أكل,5,بورسعيد,متوسط,43,3,1
89,أكل,3,القاهرة,عاجل,50,1,0
90,علاج,4,الجيزة,متوسط,53,2,1
91,علاج,7,القاهرة,عاجل,54,4,1
92,علاج,1,القاهرة,متوسط,1,1,0
93,علاج,7,بورسعيد,متوسط,29,4,1
94,علاج,1,طنطا,متوسط,52,1,0
95,علاج,3,القاهرة,متوسط,76,1,0
96,أكل,2,طنطا,عاجل,60,1,0
97,لبس,7,أسوان,عاجل,59,4,1
98,علاج,5,طنطا,متوسط,11,3,1
99,علاج,9,القاهرة,منخفض,29,5,1
100,علاج,1,القاهرة,عاجل,26,1,0
101,علاج,4,الإسكندرية,متوسط,15,2,1
